('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         535147 function calls (516611 primitive calls) in 1.428 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      122    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
      191    0.001    0.000    0.135    0.001 sre_compile.py:759(compile)
     1253    0.001    0.000    0.012    0.000 __init__.py:763(handle_endtag)
     1253    0.001    0.000    0.013    0.000 _htmlparser.py:160(handle_endtag)
     6290    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
    201/4    0.001    0.000    0.251    0.063 <frozen importlib._bootstrap>:986(_find_and_load)
      179    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
     4297    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1705    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1356    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
3250/3182    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      191    0.001    0.000    0.008    0.000 sre_compile.py:536(_compile_info)
      272    0.001    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
       16    0.001    0.000    0.002    0.000 __init__.py:313(namedtuple)
      239    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       12    0.001    0.000    0.384    0.032 {method 'join' of 'bytes' objects}
      796    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
      901    0.001    0.000    0.001    0.000 typing.py:762(__setattr__)
     7622    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        1    0.001    0.001    0.001    0.001 request.py:1086(AbstractDigestAuthHandler)
     2737    0.001    0.000    0.001    0.000 {built-in method builtins.max}
    52/14    0.001    0.000    0.016    0.001 css_parser.py:905(parse_selectors)
      998    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
    175/4    0.001    0.000    0.250    0.063 <frozen importlib._bootstrap>:650(_load_unlocked)
      315    0.001    0.000    0.001    0.000 enum.py:75(__setitem__)
      175    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
       10    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      886    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     2249    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      398    0.001    0.000    0.001    0.000 __init__.py:620(object_was_parsed)
      191    0.001    0.000    0.085    0.000 sre_parse.py:937(parse)
     1253    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
    200/4    0.001    0.000    0.251    0.063 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      761    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      599    0.001    0.000    0.005    0.000 enum.py:313(__call__)
      301    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     2251    0.001    0.000    0.002    0.000 css_parser.py:305(match)
      239    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      239    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
       77    0.001    0.000    0.005    0.000 css_parser.py:459(parse_attribute_selector)
      223    0.001    0.000    0.002    0.000 typing.py:120(_type_check)
      123    0.001    0.000    0.002    0.000 typing.py:659(__init__)
      378    0.001    0.000    0.001    0.000 enum.py:417(__setattr__)
     1424    0.001    0.000    0.001    0.000 element.py:1543(get)
     1849    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
     4606    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       97    0.001    0.000    0.383    0.004 response.py:1129(read_chunked)
      158    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
     2086    0.001    0.000    0.006    0.000 {built-in method builtins.next}
      412    0.001    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      761    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.001    0.001    0.001    0.001 connection.py:275(close)
      398    0.001    0.000    0.002    0.000 element.py:943(__new__)
     1254    0.000    0.000    0.000    0.000 __init__.py:205(can_be_empty_element)
     3942    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     2455    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     1937    0.000    0.000    0.001    0.000 element.py:2062(descendants)
      321    0.000    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
     1254    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
       10    0.000    0.000    0.001    0.000 enum.py:500(<listcomp>)
       16    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      762    0.000    0.000    0.000    0.000 socket.py:694(readable)
    149/4    0.000    0.000    0.250    0.063 <frozen importlib._bootstrap_external>:842(exec_module)
      191    0.000    0.000    0.001    0.000 enum.py:938(__and__)
      149    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
     1320    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      191    0.000    0.000    0.048    0.000 sre_compile.py:598(_code)
      901    0.000    0.000    0.001    0.000 typing.py:646(_is_dunder)
      136    0.000    0.000    0.001    0.000 css_parser.py:357(__init__)
      790    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      589    0.000    0.000    0.001    0.000 enum.py:631(__new__)
       19    0.000    0.000    0.001    0.000 enum.py:200(<setcomp>)
     2359    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1253    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
  814/701    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      851    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     2808    0.000    0.000    0.000    0.000 element.py:1586(__bool__)
       97    0.000    0.000    0.019    0.000 response.py:456(_decode)
      191    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
  209/176    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
       97    0.000    0.000    0.353    0.004 response.py:1107(_handle_chunk)
     1185    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
      482    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
  175/171    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      401    0.000    0.000    0.001    0.000 _htmlparser.py:178(handle_data)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
       80    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
  136/131    0.000    0.000    0.003    0.000 css_parser.py:383(freeze)
      191    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
       35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      398    0.000    0.000    0.000    0.000 __init__.py:523(string_container)
     1524    0.000    0.000    0.000    0.000 ssl.py:1107(_checkClosed)
      757    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      158    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      112    0.000    0.000    0.353    0.003 client.py:606(_safe_read)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      168    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
      367    0.000    0.000    0.000    0.000 types.py:171(__get__)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
  157/149    0.000    0.000    0.004    0.000 typing.py:255(inner)
