('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         535209 function calls (516687 primitive calls) in 7.060 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      333    0.002    0.000    0.136    0.000 re.py:289(_compile)
     2050    0.002    0.000    0.002    0.000 element.py:156(setup)
    11757    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     4638    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
     1754    0.002    0.000    0.018    0.000 element.py:2303(search)
     5813    0.002    0.000    0.003    0.000 sre_parse.py:172(append)
       19    0.002    0.000    0.005    0.000 enum.py:157(__new__)
      742    0.002    0.000    1.319    0.002 socket.py:655(readinto)
     8199    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      742    0.002    0.000    1.316    0.002 ssl.py:1259(recv_into)
     2509    0.002    0.000    0.006    0.000 __init__.py:586(endData)
        1    0.002    0.002    0.002    0.002 models.py:906(text)
     4106    0.002    0.000    0.002    0.000 sre_parse.py:286(tell)
     2141    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     1253    0.002    0.000    0.005    0.000 parser.py:352(check_for_whole_start_tag)
     8194    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     2141    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      113    0.001    0.000    0.014    0.000 response.py:122(decompress)
      897    0.001    0.000    0.002    0.000 sre_compile.py:249(_compile_charset)
       35    0.001    0.000    0.021    0.001 element.py:792(_find_all)
    166/1    0.001    0.000    7.060    7.060 {built-in method builtins.exec}
      149    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:914(get_code)
       53    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      325    0.001    0.000    0.005    0.000 css_parser.py:1085(selector_iter)
      742    0.001    0.000    1.313    0.002 ssl.py:1119(read)
      298    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
      886    0.001    0.000    0.002    0.000 sre_parse.py:432(_uniq)
     2189    0.001    0.000    0.002    0.000 element.py:2203(_normalize_search_value)
      886    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     4573    0.001    0.000    0.002    0.000 abc.py:96(__instancecheck__)
     1065    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
     5828    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     4573    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     1253    0.001    0.000    0.012    0.000 __init__.py:763(handle_endtag)
    201/4    0.001    0.000    0.249    0.062 <frozen importlib._bootstrap>:986(_find_and_load)
      122    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
      196    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap>:890(_find_spec)
     3711    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      149    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
    175/4    0.001    0.000    0.248    0.062 <frozen importlib._bootstrap>:650(_load_unlocked)
     1253    0.001    0.000    0.013    0.000 _htmlparser.py:160(handle_endtag)
      191    0.001    0.000    0.133    0.001 sre_compile.py:759(compile)
      272    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
        1    0.001    0.001    0.001    0.001 connection.py:275(close)
3248/3180    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      179    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      191    0.001    0.000    0.008    0.000 sre_compile.py:536(_compile_info)
     1705    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1356    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
     6290    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     4297    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       16    0.001    0.000    0.002    0.000 __init__.py:313(namedtuple)
      239    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      272    0.001    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
      901    0.001    0.000    0.002    0.000 typing.py:762(__setattr__)
       12    0.001    0.000    0.627    0.052 {method 'join' of 'bytes' objects}
     7622    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      398    0.001    0.000    0.001    0.000 __init__.py:620(object_was_parsed)
      796    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
    52/14    0.001    0.000    0.017    0.001 css_parser.py:905(parse_selectors)
     2737    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      998    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
      175    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
     2249    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      315    0.001    0.000    0.002    0.000 enum.py:75(__setitem__)
     1253    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
       10    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
       77    0.001    0.000    0.005    0.000 css_parser.py:459(parse_attribute_selector)
        1    0.001    0.001    0.001    0.001 request.py:1086(AbstractDigestAuthHandler)
      239    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
     1424    0.001    0.000    0.001    0.000 element.py:1543(get)
    200/4    0.001    0.000    0.249    0.062 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     2251    0.001    0.000    0.002    0.000 css_parser.py:305(match)
     1937    0.001    0.000    0.001    0.000 element.py:2062(descendants)
      301    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      378    0.001    0.000    0.001    0.000 enum.py:417(__setattr__)
      191    0.001    0.000    0.084    0.000 sre_parse.py:937(parse)
     2086    0.001    0.000    0.006    0.000 {built-in method builtins.next}
     1849    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
      223    0.001    0.000    0.002    0.000 typing.py:120(_type_check)
      123    0.001    0.000    0.002    0.000 typing.py:659(__init__)
      239    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
     1254    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
      412    0.001    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      112    0.001    0.000    0.626    0.006 response.py:1129(read_chunked)
      742    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     4605    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      398    0.001    0.000    0.002    0.000 element.py:943(__new__)
      158    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
      599    0.000    0.000    0.005    0.000 enum.py:313(__call__)
     3942    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     2455    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
    149/4    0.000    0.000    0.248    0.062 <frozen importlib._bootstrap_external>:842(exec_module)
      321    0.000    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      742    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      482    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
       19    0.000    0.000    0.001    0.000 enum.py:200(<setcomp>)
      191    0.000    0.000    0.001    0.000 enum.py:938(__and__)
      851    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
       10    0.000    0.000    0.001    0.000 enum.py:500(<listcomp>)
       16    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      149    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
      743    0.000    0.000    0.000    0.000 socket.py:694(readable)
      112    0.000    0.000    0.610    0.005 response.py:1107(_handle_chunk)
     1254    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
     1253    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
      589    0.000    0.000    0.001    0.000 enum.py:631(__new__)
     2359    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      790    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
  814/701    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      901    0.000    0.000    0.001    0.000 typing.py:646(_is_dunder)
     1320    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     2808    0.000    0.000    0.000    0.000 element.py:1586(__bool__)
      367    0.000    0.000    0.000    0.000 types.py:171(__get__)
      149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
      170    0.000    0.000    0.610    0.004 client.py:606(_safe_read)
      191    0.000    0.000    0.047    0.000 sre_compile.py:598(_code)
  209/176    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      136    0.000    0.000    0.000    0.000 css_parser.py:357(__init__)
      191    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
