('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         613248 function calls (588103 primitive calls) in 1.623 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1253    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
     1253    0.004    0.000    0.027    0.000 _htmlparser.py:105(handle_starttag)
     1253    0.001    0.000    0.012    0.000 _htmlparser.py:160(handle_endtag)
     1253    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
     1253    0.002    0.000    0.002    0.000 __init__.py:558(popTag)
     1253    0.003    0.000    0.006    0.000 __init__.py:688(_popToTag)
     1253    0.004    0.000    0.022    0.000 __init__.py:722(handle_starttag)
     1253    0.001    0.000    0.011    0.000 __init__.py:763(handle_endtag)
     1185    0.004    0.000    0.018    0.000 parser.py:386(parse_endtag)
     1185    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
     1180    0.000    0.000    0.000    0.000 typing.py:669(<genexpr>)
 1078/195    0.005    0.000    0.069    0.000 sre_parse.py:435(_parse_sub)
     1075    0.005    0.000    0.005    0.000 {built-in method posix.stat}
     1074    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
     1040    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
     1022    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     1020    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
      973    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x902780}
      952    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      932    0.004    0.000    0.007    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
      918    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      866    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      861    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      798    0.000    0.000    0.000    0.000 typing.py:324(__eq__)
      791    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      775    0.002    0.000    0.003    0.000 typing.py:120(_type_check)
      771    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
      767    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      765    0.001    0.000    0.001    0.000 _receivebuffer.py:67(_extract)
      756    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      756    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
      742    0.000    0.000    0.000    0.000 _connection.py:205(our_state)
      738    0.001    0.000    0.001    0.000 _state.py:301(_fire_event_triggered_transitions)
      738    0.001    0.000    0.001    0.000 _connection.py:330(_respond_to_state_changes)
      737    0.001    0.000    0.004    0.000 _state.py:275(process_event)
      737    0.002    0.000    0.002    0.000 _state.py:318(_fire_state_triggered_transitions)
      737    0.003    0.000    0.008    0.000 _connection.py:260(_process_event)
      734    0.008    0.000    0.924    0.001 http11.py:204(_receive_event)
      734    0.000    0.000    0.000    0.000 _connection.py:248(_server_switch_event)
      733    0.000    0.000    0.390    0.001 connection_pool.py:360(__iter__)
      733    0.003    0.000    0.390    0.001 http11.py:193(_receive_response_body)
      733    0.000    0.000    0.390    0.001 http11.py:325(__iter__)
      733    0.001    0.000    0.001    0.000 _events.py:299(__init__)
      733    0.000    0.000    0.391    0.001 default.py:109(__iter__)
      733    0.002    0.000    0.393    0.001 _models.py:869(iter_raw)
      733    0.000    0.000    0.391    0.001 _client.py:123(__iter__)
      732    0.012    0.000    0.012    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      732    0.001    0.000    0.407    0.001 _models.py:814(iter_bytes)
      732    0.001    0.000    0.012    0.000 _decoders.py:74(decode)
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      726    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
  723/721    0.010    0.000    0.111    0.000 {built-in method builtins.__build_class__}
      721    0.001    0.000    0.001    0.000 _receivebuffer.py:53(__iadd__)
      721    0.001    0.000    0.001    0.000 _receivebuffer.py:57(__bool__)
      721    0.001    0.000    0.002    0.000 _connection.py:352(receive_data)
      721    0.003    0.000    0.875    0.001 sync.py:122(read)
      721    0.864    0.001    0.864    0.001 {method 'read' of '_ssl._SSLSocket' objects}
      721    0.001    0.000    0.865    0.001 ssl.py:1119(read)
      721    0.001    0.000    0.866    0.001 ssl.py:1248(recv)
      719    0.001    0.000    0.001    0.000 sre_compile.py:423(_simple)
      697    0.007    0.000    0.010    0.000 sre_compile.py:276(_optimize_charset)
      697    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
